,time_step,sampling_period,loss_factor,time_factor,Signal,th
0,75,5,95.0,99,0,0.752433333333332
1,75,5,95.0,99,1,0.7166666666666667
2,75,5,95.0,99,2,0.7333333333333333
3,75,5,95.0,99,3,0.5966666666666667
4,75,5,95.0,99,4,0.6166666666666667
5,75,5,95.0,99,5,0.5733333333333334
6,75,5,95.0,99,6,0.6166666666666667
7,75,5,95.0,99,7,0.58
8,75,5,95.0,99,8,0.5590999999999986
9,75,5,95.0,99,9,0.5700000000000001
10,75,5,95.0,99,10,0.5590999999999986
11,75,5,95.0,99,11,0.53
12,75,5,95.0,99,12,0.6324333333333318
13,75,5,95.0,99,13,0.25909999999999855
14,75,5,95.0,99,14,0.25153333333333044
15,75,5,95.0,99,15,0.12333333333333334
16,75,5,95.0,99,16,0.11333333333333334
17,75,5,95.0,99,17,0.16
18,75,5,95.0,99,18,0.17
19,75,5,95.0,99,19,0.13
