,time_step,sampling_period,loss_factor,time_factor,Signal,th
0,50,1,95.0,99,0,0.765
1,50,1,95.0,99,1,0.695
2,50,1,95.0,99,2,0.76
3,50,1,95.0,99,3,0.6883500000000004
4,50,1,95.0,99,4,0.635
5,50,1,95.0,99,5,0.6833500000000003
6,50,1,95.0,99,6,0.6483500000000003
7,50,1,95.0,99,7,0.725
8,50,1,95.0,99,8,0.585
9,50,1,95.0,99,9,0.595
10,50,1,95.0,99,10,0.61
11,50,1,95.0,99,11,0.64
12,50,1,95.0,99,12,0.5883500000000004
13,50,1,95.0,99,13,0.59
14,50,1,95.0,99,14,0.5833500000000004
15,50,1,95.0,99,15,0.24000000000000002
16,50,1,95.0,99,16,0.21000000000000002
17,50,1,95.0,99,17,0.155
18,50,1,95.0,99,18,0.14500000000000002
19,50,1,95.0,99,19,0.155
