,time_step,sampling_period,loss_factor,time_factor,Signal,th
0,25,1,95.0,99,0,0.78
1,25,1,95.0,99,1,0.76
2,25,1,95.0,99,2,0.82
3,25,1,95.0,99,3,0.6865999999999985
4,25,1,95.0,99,4,0.71
5,25,1,95.0,99,5,0.62
6,25,1,95.0,99,6,0.65
7,25,1,95.0,99,7,0.67
8,25,1,95.0,99,8,0.62
9,25,1,95.0,99,9,0.63
10,25,1,95.0,99,10,0.63
11,25,1,95.0,99,11,0.63
12,25,1,95.0,99,12,0.71
13,25,1,95.0,99,13,0.56
14,25,1,95.0,99,14,0.5331999999999971
15,25,1,95.0,99,15,0.31
16,25,1,95.0,99,16,0.26
17,25,1,95.0,99,17,0.19
18,25,1,95.0,99,18,0.2
19,25,1,95.0,99,19,0.22
