,time_step,sampling_period,loss_factor,time_factor,Signal,th
0,50,5,95.0,99,0,0.625
1,50,5,95.0,99,1,0.595
2,50,5,95.0,99,2,0.615
3,50,5,95.0,99,3,0.645
4,50,5,95.0,99,4,0.61
5,50,5,95.0,99,5,0.63
6,50,5,95.0,99,6,0.5700000000000001
7,50,5,95.0,99,7,0.665
8,50,5,95.0,99,8,0.5435499999999956
9,50,5,95.0,99,9,0.42
10,50,5,95.0,99,10,0.575
11,50,5,95.0,99,11,0.445
12,50,5,95.0,99,12,0.5735499999999957
13,50,5,95.0,99,13,0.465
14,50,5,95.0,99,14,0.455
15,50,5,95.0,99,15,0.15
16,50,5,95.0,99,16,0.145
17,50,5,95.0,99,17,0.195
18,50,5,95.0,99,18,0.2
19,50,5,95.0,99,19,0.155
