,time_step,sampling_period,loss_factor,time_factor,Signal,th
0,25,5,95.0,99,0,0.8
1,25,5,95.0,99,1,0.72
2,25,5,95.0,99,2,0.76
3,25,5,95.0,99,3,0.63
4,25,5,95.0,99,4,0.66
5,25,5,95.0,99,5,0.69
6,25,5,95.0,99,6,0.66
7,25,5,95.0,99,7,0.67
8,25,5,95.0,99,8,0.59
9,25,5,95.0,99,9,0.64
10,25,5,95.0,99,10,0.58
11,25,5,95.0,99,11,0.46
12,25,5,95.0,99,12,0.67
13,25,5,95.0,99,13,0.29000000000000004
14,25,5,95.0,99,14,0.3368000000000029
15,25,5,95.0,99,15,0.17
16,25,5,95.0,99,16,0.16680000000000292
17,25,5,95.0,99,17,0.19
18,25,5,95.0,99,18,0.19
19,25,5,95.0,99,19,0.16
