,time_step,sampling_period,loss_factor,time_factor,Signal,th
0,75,1,95.0,99,0,0.7100333333333341
1,75,1,95.0,99,1,0.6666666666666666
2,75,1,95.0,99,2,0.7566666666666666
3,75,1,95.0,99,3,0.6389000000000002
4,75,1,95.0,99,4,0.5966666666666667
5,75,1,95.0,99,5,0.64
6,75,1,95.0,99,6,0.5900000000000001
7,75,1,95.0,99,7,0.6366666666666667
8,75,1,95.0,99,8,0.5055666666666669
9,75,1,95.0,99,9,0.6133333333333333
10,75,1,95.0,99,10,0.5066666666666667
11,75,1,95.0,99,11,0.5366666666666666
12,75,1,95.0,99,12,0.7166666666666667
13,75,1,95.0,99,13,0.5966666666666667
14,75,1,95.0,99,14,0.6233333333333333
15,75,1,95.0,99,15,0.27
16,75,1,95.0,99,16,0.12333333333333334
17,75,1,95.0,99,17,0.14333333333333334
18,75,1,95.0,99,18,0.13890000000000025
19,75,1,95.0,99,19,0.14666666666666667
