,time_step,sampling_period,loss_factor,time_factor,Signal,th
0,50,10,95.0,99,0,0.625
1,50,10,95.0,99,1,0.6088000000000011
2,50,10,95.0,99,2,0.725
3,50,10,95.0,99,3,0.575
4,50,10,95.0,99,4,0.5599999999999999
5,50,10,95.0,99,5,0.5988000000000011
6,50,10,95.0,99,6,0.535
7,50,10,95.0,99,7,0.57
8,50,10,95.0,99,8,0.64
9,50,10,95.0,99,9,0.41500000000000004
10,50,10,95.0,99,10,0.41500000000000004
11,50,10,95.0,99,11,0.605
12,50,10,95.0,99,12,0.5588000000000011
13,50,10,95.0,99,13,0.33
14,50,10,95.0,99,14,0.345
15,50,10,95.0,99,15,0.1388000000000011
16,50,10,95.0,99,16,0.13
17,50,10,95.0,99,17,0.14500000000000002
18,50,10,95.0,99,18,0.135
19,50,10,95.0,99,19,0.155
