,time_step,sampling_period,loss_factor,time_factor,Signal,th
0,100,10,95.0,99,0,0.6174999999999999
1,100,10,95.0,99,1,0.61
2,100,10,95.0,99,2,0.625
3,100,10,95.0,99,3,0.5475
4,100,10,95.0,99,4,0.4943000000000029
5,100,10,95.0,99,5,0.5825
6,100,10,95.0,99,6,0.5496500000000014
7,100,10,95.0,99,7,0.6021500000000015
8,100,10,95.0,99,8,0.6121500000000014
9,100,10,95.0,99,9,0.3875
10,100,10,95.0,99,10,0.5425
11,100,10,95.0,99,11,0.31
12,100,10,95.0,99,12,0.4975
13,100,10,95.0,99,13,0.2
14,100,10,95.0,99,14,0.2025
15,100,10,95.0,99,15,0.10250000000000001
16,100,10,95.0,99,16,0.10500000000000001
17,100,10,95.0,99,17,0.1125
18,100,10,95.0,99,18,0.13
19,100,10,95.0,99,19,0.2375
